Date,Exchange Rate,Prime_Rate,INDINF_CPI_Q,GDP,W.MTLS,Open,Gold_Price_in_USD,Ontario_population,Ontario_Immigrants_International,Ontario_Emigrants_International,Ontario_In_migrant_Interprovincial,Ontario_Out_migrant_Interprovincial,Crime_severity_index_toronto,Toronto_median_age,UT_Graduate_Enrolment,UT_Undergraduate_Enrolment,UT_Total_Enrolment,Ryerson_Total_Enrolment,York_Total_Enrolment,Unemployment_rate_toronto,Participation_rate_toronto,Employment_rate_toronto,Toronto_population,Sales_Total,Avg_Price_Month,New Units Number (Plan for construction),New Units Number (construction complete),Prime_Rate_2,Bank_of_Canada_Overnight_Rate
2001-01-01,1.502559090909091,7.4,2.8,33393.91068301226,262.182,2641.6871628571434,265.2966666666667,11771945.0,34801.0,3144.0,15176.0,11129.0,80.04,36.8,8549.0,36712.0,45261.0,25846.0,39000.0,5.3,68.6,65.0,4882618.0,528.0,185757.6686,1457.0,511.0,7.25,7.11
2001-02-01,1.5219806999999999,7.25,3.2743019526019905,33414.60595446585,258.25,2474.819965578947,261.3108,11789226.50086427,37662.09142179419,2596.9312248288147,17272.331955028545,11735.038333474462,79.88335351885404,36.8201470463883,8549.0,36712.0,45261.0,25846.0,39000.0,6.4,68.6,64.2,4894687.053579913,732.0,189990.7036,946.0,227.0,7.25,7.11
2001-03-01,1.5578315454545455,6.75,3.5231908414908792,33421.15411558669,250.79749999999999,1999.3631868636357,262.5739285714286,11806462.056419823,39796.62475512753,2862.309002606592,19017.665288361877,12893.305000141128,79.74653314230423,36.839195173873755,8549.0,36712.0,45261.0,25846.0,39000.0,6.3,69.0,64.7,4905287.460031617,925.0,191476.2205,1015.0,387.0,6.75,5.25
2001-04-01,1.5586287368421055,6.625,3.6,33411.95796847636,247.60000000000002,1929.5815124000005,260.0738095238095,11827345.0,41662.0,3997.0,20786.0,14852.0,79.6002202182328,36.8612261240604,8549.0,36712.0,45261.0,25846.0,39000.0,6.2,69.2,65.0,4916690.735023336,836.0,189802.6914,1503.0,1151.0,6.5,4.86
2001-05-01,1.5412870909090906,6.45,3.4754763827043007,33549.865148861645,254.80200000000005,2178.740467409091,271.75559999999996,11849356.006135572,42969.07155907102,5936.427696710189,22333.20336899794,17424.209403768145,79.46379666936278,36.883488865342976,8549.0,36712.0,45261.0,25846.0,39000.0,6.1,69.6,65.4,4927393.091134402,958.0,191658.3372,1810.0,175.0,6.25,5.44
2001-06-01,1.5255614285714287,6.25,3.1507085402910104,33500.66199649737,247.9125,2110.6643008095243,270.2369230769231,11873725.399963137,43577.08226255535,8484.95133925454,23481.416059521875,20341.47062981456,79.32816759243622,36.907467580473664,8549.0,36712.0,45261.0,25846.0,39000.0,6.3,69.7,65.3,4938108.018772225,1024.0,193900.3486,1928.0,411.0,6.25,5.44
2001-07-01,1.5281568636363632,6.125,2.7,33336.94395796848,240.2525,2039.1637951428572,267.13692307692304,11897534.0,42152.0,9632.0,22560.0,20916.0,79.2020832504806,36.93161525557307,8549.0,36712.0,45261.0,25846.0,39000.0,6.0,70.2,65.9,4948144.232282747,832.0,193513.4207,617.0,831.0,6.0,4.5
2001-08-01,1.538819304347826,5.95,2.102693650985479,33562.427320490366,234.712,1937.8899880434778,272.12518518518516,11922131.970976178,38370.92401351131,9129.107656399638,19226.521226030498,18746.15626378795,79.07713802069888,36.95754173564781,8549.0,36712.0,45261.0,25846.0,39000.0,6.0,69.8,65.7,4958170.812566671,903.0,204706.8538,1779.0,657.0,5.75,4.66
2001-09-01,1.5650705000000003,5.5,1.4397852272494536,33387.283712784585,231.2,1582.9333416,281.7176000000001,11945669.100602359,32964.48239895179,7198.488379673295,14147.393378855224,14375.661714410478,78.95762228700718,36.984458063481,8549.0,36712.0,45261.0,25846.0,39000.0,6.2,69.4,65.1,4967847.5769822225,733.0,191080.1446,1397.0,1364.0,5.25,3.5
2001-10-01,1.5702768260869566,4.95,1.1,33488.85814360771,226.01799999999997,1646.3760880000002,282.44222222222226,11961789.0,30039.0,5511.0,11177.0,11302.0,78.84713150302079,37.01144858958282,8549.0,36712.0,45261.0,25846.0,39000.0,6.6,69.4,64.8,4976879.116406676,796.0,192292.6357,1111.0,327.0,4.5,1.5
2001-11-01,1.5932341818181819,4.375,1.120564686129401,33662.03677758319,227.81,1861.6028587619048,275.1064,11970637.744785015,30033.109228415742,4207.3773136305,10710.346554084706,9854.790858338509,78.73829961647397,37.04031268236007,8549.0,36712.0,45261.0,25846.0,39000.0,7.0,70.0,65.0,4985867.533468332,839.0,196114.1061,1467.0,1273.0,4.0,2.25
2001-12-01,1.5773436111111112,4.0,1.4295402380078825,33490.71278458844,232.20999999999998,1976.3270081000005,275.17125,11973290.986309398,32645.256851918923,3346.914088221377,12487.422379945448,10076.36192344419,78.63814803940197,37.069188142278705,8549.0,36712.0,45261.0,25846.0,39000.0,7.2,70.2,65.2,4994232.930292241,655.0,193162.7985,1230.0,80.0,4.0,2.25
2002-01-01,1.6002345909090911,3.85,1.6,33779.44153577661,237.26,1981.7881149999998,280.93839999999994,11980361.0,36136.0,2715.0,14788.0,11658.0,78.54,37.1,9107.0,38339.0,47446.0,25846.0,39000.0,7.5,70.5,65.2,5002533.0,732.0,196438.8825,2152.0,1474.0,3.75,2.0
2002-02-01,1.5953253,3.75,1.545042995943221,34048.03664921466,240.045,1811.8284205263155,294.74583333333345,11993559.615606755,40114.13044586188,2318.4758153145335,17255.752001446162,14560.88781113375,78.44728145668805,37.13180170547974,9107.0,38339.0,47446.0,25846.0,39000.0,7.0,69.7,64.9,5010483.253839385,957.0,208220.7482,787.0,1246.0,3.75,2.0
2002-03-01,1.5874213999999998,3.75,1.3483379099616153,33994.588132635254,245.235,1855.9414977999998,293.5624,12010244.978104932,43687.16622561303,2251.4889584545635,19545.49767938822,18039.445685082715,78.36820244334318,37.16137662182199,9107.0,38339.0,47446.0,25846.0,39000.0,7.2,69.9,64.9,5017363.454073837,1099.0,206571.384,1293.0,1589.0,3.75,2.0
2002-04-01,1.581398619047619,3.875,1.3,34281.84118673648,245.335,1766.0586382272727,302.2626923076923,12030408.0,44496.0,3132.0,21558.0,20853.0,78.28581745710578,37.19506223110007,9107.0,38339.0,47446.0,25846.0,39000.0,7.4,69.6,64.4,5024647.929325027,1183.0,219488.6002,1020.0,904.0,4.0,2.25
2002-05-01,1.549755090909091,4.0,1.4744708760926033,34316.092495637,244.93400000000003,1666.4209095454544,313.27259259259256,12051053.57056871,41643.65526300539,5037.718359958575,22890.91202594065,22228.40642864886,78.21125965452676,37.22860367472921,9107.0,38339.0,47446.0,25846.0,39000.0,7.0,69.1,64.3,5031364.350203325,1115.0,218748.3372,1243.0,916.0,4.0,2.25
2002-06-01,1.5311163999999997,4.25,1.8601313463521558,34353.924956369985,249.185,1506.0290037500004,321.3192,12073291.663160209,35590.84033480832,7734.822898895234,23448.035637844274,22253.530396940772,78.1395585154342,37.26423704895134,9107.0,38339.0,47446.0,25846.0,39000.0,7.7,68.8,63.5,5037960.478100618,940.0,214305.2351,294.0,863.0,4.25,2.5
2002-07-01,1.5441997826086962,4.4,2.3,34385.70331588133,246.408,1350.8318259545454,313.02222222222224,12094174.0,30426.0,8999.0,22142.0,20905.0,78.07533991976956,37.29966342639729,9107.0,38339.0,47446.0,25846.0,39000.0,7.3,69.0,64.0,5044010.756378371,617.0,215936.6904,1444.0,1490.0,4.5,1.5
2002-08-01,1.5682053636363635,4.5,2.8001508303192155,34578.96335078534,238.555,1326.9227239999998,309.2012000000001,12114826.338855306,26455.676205571945,8553.659106580895,18700.677148789604,18089.084875365377,77.99413296073332,37.33627194419688,9107.0,38339.0,47446.0,25846.0,39000.0,8.0,69.9,64.3,5050114.804058572,765.0,208338.9516,1101.0,1272.0,4.5,1.5
2002-09-01,1.5737073333333333,4.5,3.332186947996412,34555.87260034904,240.3975,1256.13549205,318.1468,12133731.255225006,23854.224540845582,6671.188960447839,13725.611864340366,14229.604289287854,77.87381759098645,37.37172473104934,9107.0,38339.0,47446.0,25846.0,39000.0,7.7,70.2,64.8,5056301.996325304,780.0,215612.8782,691.0,1024.0,4.5,1.5
2002-10-01,1.5778976956521737,4.5,3.8,34709.67190226876,240.22000000000003,1236.3356508695654,315.86499999999995,12146053.0,22532.0,5316.0,10617.0,11651.0,77.72009724514835,37.40493107550956,9107.0,38339.0,47446.0,25846.0,39000.0,7.9,70.3,64.8,5062369.249617506,950.0,218940.0189,1000.0,1033.0,4.5,1.5
2002-11-01,1.5713871428571429,4.5,4.222048791596464,34681.41535776614,248.375,1402.87199095,318.5763999999999,12151904.47934444,22383.091311956938,4699.425302105063,9688.178067492849,10534.849580910275,77.52272390016316,37.4381047338749,9107.0,38339.0,47446.0,25846.0,39000.0,7.0,70.0,65.1,5068721.047487991,845.0,218089.4225,2214.0,1704.0,4.5,1.5
2002-12-01,1.5586571500000002,4.5,4.531714790012875,34507.08551483421,250.68249999999998,1392.4195208095239,333.5207692307692,12152370.500110757,23341.29273740447,4748.505307496646,10780.761708716684,10864.393323744325,77.29443132022347,37.46910547012178,9107.0,38339.0,47446.0,25846.0,39000.0,7.3,70.2,65.0,5074947.596525761,623.0,214842.7287,551.0,2448.0,4.5,1.5
2003-01-01,1.5408299545454545,4.5,4.5,34650.70331588133,256.67400000000004,1389.8081055238097,354.99199999999996,12156750.0,24990.0,4752.0,12584.0,12099.0,77.02,37.5,9824.0,41184.0,51008.0,25846.0,42000.0,7.4,70.6,65.3,5081464.0,638.0,223692.1834,665.0,870.0,4.5,1.5
2003-02-01,1.5129913,4.5,4.069446779270245,34819.83420593368,263.8,1313.224211,357.858695652174,12166627.182998654,27228.44510983197,4589.092956025024,14843.243104098292,14149.109699664457,76.7064080694095,37.529736284253616,9824.0,41184.0,51008.0,25846.0,42000.0,7.3,70.8,65.6,5088064.0555023765,851.0,221466.6122,3621.0,1077.0,4.5,1.5
2003-03-01,1.4753791904761904,4.75,3.400845691712288,34741.089005235604,259.435,1344.264288,340.44666666666683,12179778.958786847,29635.976735030126,4397.0396596082655,17129.650408573187,16570.133232105683,76.38950436502274,37.55559932675749,9824.0,41184.0,51008.0,25846.0,42000.0,7.3,70.5,65.3,5094097.2966587795,999.0,219933.4695,1552.0,859.0,4.75,3.0
2003-04-01,1.4613469499999998,4.9,2.8,34646.694589877836,249.67800000000003,1409.1190417142857,327.65956521739133,12195501.0,31866.0,4833.0,18893.0,18944.0,76.00138095018539,37.58313120804815,9824.0,41184.0,51008.0,25846.0,42000.0,7.9,70.6,65.0,5100856.560859868,1047.0,220042.4852,1207.0,1805.0,5.0,2.5
2003-05-01,1.3830583333333335,5.0,2.4278981586828436,34754.58987783595,260.345,1517.4081043809524,354.5018518518518,12211329.405883942,33454.151600677484,6012.528533769566,19669.12538647808,20788.75700305682,75.58849152845329,37.60867216002922,9824.0,41184.0,51008.0,25846.0,42000.0,7.9,69.9,64.4,5107477.43215306,1039.0,228105.3301,948.0,1430.0,5.0,2.5
2003-06-01,1.3545651428571428,5.0,2.235786131068582,34851.949389179754,264.14,1633.7771519523812,356.25,12228280.42689234,34423.26506949878,7759.295290986919,19460.307138902695,22013.385003272993,75.12331013837765,37.63392491283277,9824.0,41184.0,51008.0,25846.0,42000.0,8.0,70.0,64.5,5114401.3019579025,1045.0,216460.5493,1207.0,1066.0,5.0,2.5
2003-07-01,1.3801534347826083,4.85,2.1,34943.35078534031,265.24,1715.8681751818183,350.115925925926,12245039.0,34239.0,8512.0,17999.0,21323.0,74.63584848254395,37.657260256600495,9824.0,41184.0,51008.0,25846.0,42000.0,8.0,69.9,64.3,5121181.468996662,1152.0,220006.5382,1112.0,677.0,4.75,3.0
2003-08-01,1.3978564285714286,4.75,1.9875401094680996,34711.56719022687,271.62,1722.6523786666664,359.6603703703703,12262683.386808839,32806.02881327227,8065.857769228331,15138.322372306546,18457.573288146043,74.13218033424815,37.68084386319794,9824.0,41184.0,51008.0,25846.0,42000.0,8.0,69.7,64.1,5128206.731901562,1005.0,223219.6517,1712.0,832.0,4.75,3.0
2003-09-01,1.3663521818181816,4.5625,1.885374055484769,35246.70331588133,273.32,1856.3252476666664,378.0776000000001,12279849.13922492,30393.139014700682,6624.136063929212,11357.580703369948,13988.280608673429,73.67443872740445,37.70461483001281,9824.0,41184.0,51008.0,25846.0,42000.0,8.1,69.6,64.0,5135176.201613148,953.0,221429.2214,1534.0,1389.0,4.5,1.5
2003-10-01,1.324753565217391,4.5,1.7,35353.76963350785,281.232,1904.3899987391308,377.67592592592587,12291669.0,28638.0,5609.0,9243.0,11255.0,73.27528611447349,37.72779888492596,9824.0,41184.0,51008.0,25846.0,42000.0,7.4,69.4,64.2,5141867.571559145,957.0,217635.2414,3287.0,1472.0,4.5,1.5
2003-11-01,1.3128103999999998,4.5,1.40322599566271,35370.293193717276,291.595,1939.950529526316,389.6172,12298217.997398715,27672.346362337415,5171.113633121483,9051.522632120123,10588.303636195946,72.90811232125981,37.75194163159827,9824.0,41184.0,51008.0,25846.0,42000.0,7.5,69.1,63.9,5148726.933069286,844.0,224552.1078,768.0,391.0,4.5,1.5
2003-12-01,1.3129541428571425,4.5,1.0666225699303666,35443.19197207679,306.174,1957.310913090909,407.14846153846156,12300246.157301923,27604.22216338394,5261.5284037161655,10566.652380540296,11782.822154092508,72.59660597958364,37.77548547347023,9824.0,41184.0,51008.0,25846.0,42000.0,7.4,69.9,64.8,5155311.746691302,728.0,217241.456,1247.0,1260.0,4.5,1.5
2004-01-01,1.2960861428571426,4.375,1.0,35427.951134380455,317.21750000000003,2097.61454465,412.8623076923077,12305320.0,28719.0,5397.0,12439.0,13344.0,72.32,37.8,10230.0,45533.0,55763.0,25846.0,47000.0,7.2,69.6,64.6,5162061.0,625.0,221502.3744,517.0,1489.0,4.25,2.5
2004-02-01,1.3298938999999999,4.25,1.2742475838524252,35465.58289703316,324.15,2052.735769157895,402.92199999999997,12314652.230405683,31086.423258449933,5494.123475521033,14382.73465160788,14976.5089589505,72.08942028635943,37.82470346383436,10230.0,45533.0,55763.0,25846.0,47000.0,7.2,70.2,65.2,5168754.296681731,887.0,221989.0113,412.0,586.0,4.25,2.5
2004-03-01,1.3304815652173914,4.0,1.77100588920254,35774.74345549738,324.09000000000003,1982.9356530434782,405.26407407407413,12326917.033394797,34142.54649350505,5610.572624081936,16180.12192717114,16554.069422992914,71.91538458272534,37.84798420206754,10230.0,45533.0,55763.0,25846.0,47000.0,7.8,70.2,64.8,5174965.109846578,1313.0,225317.90399999998,1702.0,829.0,4.0,2.25
2004-04-01,1.3408617,3.8125,2.1,35861.31588132635,324.33000000000004,2027.7942823809524,404.6437500000001,12341656.0,36346.0,6167.0,17505.0,18199.0,71.77388796445855,37.8730533510076,10230.0,45533.0,55763.0,25846.0,47000.0,7.3,70.4,65.3,5181550.103379348,1244.0,228128.8199,2041.0,1273.0,3.75,2.0
2004-05-01,1.3777125238095234,3.75,2.1476911275306088,35909.19197207679,302.1775,1928.1244994499998,383.67481481481485,12357184.494554663,37124.36399540987,7193.886397426804,18110.295086451304,19735.17284917248,71.68077888886005,37.897493711203175,10230.0,45533.0,55763.0,25846.0,47000.0,7.7,70.4,65.0,5187869.39960391,1193.0,241201.0243,978.0,1641.0,3.75,2.0
2004-06-01,1.3586886363636361,3.75,1.9725478885620369,36140.71727748691,314.38,1999.1933361428576,391.36240000000004,12374401.369315008,36544.97867705974,8561.549920678997,18001.89772838717,21068.090066851928,71.62985008422328,37.92293464000067,10230.0,45533.0,55763.0,25846.0,47000.0,7.2,70.1,65.1,5194344.284935234,1258.0,231930.4555,1869.0,2050.0,3.75,2.0
2004-07-01,1.3223883636363636,3.75,1.9,36026.94589877836,325.395,1919.722388857143,397.54037037037045,12391421.0,34733.0,9056.0,16991.0,20993.0,71.6243872798796,37.94773478715507,10230.0,45533.0,55763.0,25846.0,47000.0,7.4,70.1,64.9,5200557.024835817,1091.0,228362.8973,762.0,893.0,3.75,2.0
2004-08-01,1.3146591363636364,3.75,1.9805001442059944,36309.31762652705,324.82000000000005,1821.2963812272728,399.7492307692309,12409241.64794122,31583.078650057763,8512.058985166077,14975.74625549602,19307.987217223334,71.6488738606271,37.97344770775433,10230.0,45533.0,55763.0,25846.0,47000.0,7.6,70.1,64.7,5207026.385503713,1033.0,225848.5992,3438.0,760.0,3.75,2.0
2004-09-01,1.2905654999999998,3.9,2.182685533396426,36463.858638743455,327.92999999999995,1881.2014276666664,404.5435999999999,12426412.094285222,27582.860859240165,7115.520204318612,12270.863665867128,16350.95359554007,71.68704469102882,37.99913657359711,10230.0,45533.0,55763.0,25846.0,47000.0,7.3,69.0,64.0,5213663.017296347,932.0,224065.0075,1601.0,1380.0,4.0,2.25
2004-10-01,1.249289714285714,4.125,2.3,36412.59336823735,348.055,1935.5619070000002,419.8024,12437664.0,25298.0,6126.0,10584.0,14212.0,71.73699740251531,38.02397375744773,10230.0,45533.0,55763.0,25846.0,47000.0,7.6,69.4,64.1,5220244.939224425,900.0,238120.0933,2174.0,2070.0,4.25,2.5
2004-11-01,1.1962792727272726,4.25,2.308334126932622,36495.37347294939,350.17,2059.2052350000004,438.4124,12442967.261640273,24970.089250637575,5670.5100404415625,10063.682764813484,13066.473875672764,71.8020621758523,38.049615071562854,10230.0,45533.0,55763.0,25846.0,47000.0,7.4,69.6,64.4,5227210.946083149,1000.0,235626.733,1703.0,1210.0,4.25,2.5
2004-12-01,1.2181875652173912,4.25,2.2188784374039554,36450.92146596859,354.76800000000003,2146.2768,442.5352173913044,12443237.693860447,26504.42427759229,5696.1378868390375,10702.679465386142,12994.744539234658,71.87804128372774,38.07440623761252,10230.0,45533.0,55763.0,25846.0,47000.0,8.3,69.5,63.7,5234111.6180751845,703.0,239119.6999,1018.0,395.0,4.25,2.5
2005-01-01,1.2241941904761906,4.25,2.1,36595.905759162306,357.82750000000004,2081.3314941,424.104347826087,12446466.0,29269.0,5683.0,12285.0,14033.0,71.97,38.1,10485.0,47402.0,57887.0,25846.0,49500.0,7.0,68.8,64.0,5241407.0,601.0,230779.2962,491.0,965.0,4.25,2.5
2005-02-01,1.2392857000000002,4.25,1.9665650374874968,36668.471204188485,363.33000000000004,2065.44789531579,422.5127272727273,12454012.709910898,33110.31684800716,5543.156292033319,14761.607061105125,16208.656296225909,72.07562612989506,38.12556959675538,10485.0,47402.0,57887.0,25846.0,49500.0,7.8,69.0,63.6,5248869.769253483,874.0,234769.4691,914.0,1297.0,4.25,2.5
2005-03-01,1.216971619047619,4.25,1.855561681469606,36507.68237347295,377.75399999999996,2034.5836459090913,434.3669565217391,12464314.41653456,37223.62182167008,5404.638050623629,17543.244241454726,18951.439123540178,72.18277780981327,38.148643945529145,10485.0,47402.0,57887.0,25846.0,49500.0,7.4,69.3,64.2,5255754.208010512,1129.0,242998.5226,1888.0,3826.0,4.25,2.5
2005-04-01,1.2359726666666666,4.25,1.9,36806.66317626527,372.1525,1962.563337142857,427.68,12477967.0,40485.0,5926.0,19632.0,21426.0,72.31441611402279,38.17416754962993,10485.0,47402.0,57887.0,25846.0,49500.0,7.4,69.1,64.0,5263535.553147591,1249.0,233664.3395,2060.0,146.0,4.25,2.5
2005-05-01,1.2559501363636363,4.25,2.134835107838078,36978.815008726,362.6425,1998.4704821428572,421.84653846153844,12493176.693890583,42035.71571365787,7212.751809677926,20413.833294141496,23036.847246436115,72.4548212195168,38.19884480276246,10485.0,47402.0,57887.0,25846.0,49500.0,7.6,69.9,64.6,5271225.262183196,1283.0,244013.9564,803.0,1193.0,4.25,2.5
2005-06-01,1.2421523636363638,4.25,2.5183692387001626,37088.240837696336,363.506,2075.5190984545447,429.5841666666667,12510783.496950598,42004.91837749485,9072.409964105014,19939.982847267373,23778.172079586035,72.61335346666158,38.22432085513559,10485.0,47402.0,57887.0,25846.0,49500.0,7.5,69.9,64.7,5279335.9823863655,1308.0,241869.6636,2909.0,1417.0,4.25,2.5
2005-07-01,1.2237718095238095,4.25,2.7,37097.04537521815,360.2625,2138.3275025499997,424.1736000000001,12528663.0,40541.0,9804.0,18236.0,22959.0,72.77978496854456,38.24895209046718,10485.0,47402.0,57887.0,25846.0,49500.0,7.3,69.6,64.6,5287344.441485929,1110.0,245632.80899999998,3500.0,1720.0,4.25,2.5
2005-08-01,1.2055626521739131,4.25,2.63448266901803,37388.184991274,371.34,2157.993471826087,436.8911538461537,12547833.18906033,37572.134389947634,9178.027616891617,15187.402399633616,20411.520936014036,72.94246429532276,38.27439290856056,10485.0,47402.0,57887.0,25846.0,49500.0,6.4,69.2,64.8,5295640.560828545,1124.0,237292.9742,982.0,2480.0,4.25,2.5
2005-09-01,1.179030772727273,4.4375,2.3655556869432335,37483.24258289703,371.125,2145.5837867142855,455.0608333333333,12566658.626531903,33465.54519482536,7446.883478043881,11282.517988258502,16619.739787968872,73.0686320172536,38.29983673300765,10485.0,47402.0,57887.0,25846.0,49500.0,6.7,69.7,65.1,5303786.460162656,1150.0,241379.0557,922.0,357.0,4.5,1.5
2005-10-01,1.1776342857142859,4.625,2.2,37504.905759162306,374.815,2089.836675761905,469.2316666666666,12578931.0,30238.0,6320.0,9108.0,14356.0,73.15590990561672,38.32446268169528,10485.0,47402.0,57887.0,25846.0,49500.0,6.7,70.1,65.4,5311526.204667509,1040.0,246403.4827,982.0,841.0,4.75,3.0
