Month,Prime_Rate,Bank_of_Canada_Overnight_Rate,City_Tax_Rate,Education_Tax_Rate,City_Building_Fund,TotalProperty_Tax_Rate
2000-01,6.5,4.86,,,,
2000-02,6.75,5.25,,,,
2000-03,7,5.66,,,,
2000-04,7,5.66,,,,
2000-05,7.5,6.83,,,,
2000-06,7.5,6.83,,,,
2000-07,7.5,6.83,,,,
2000-08,7.5,6.83,,,,
2000-09,7.5,6.83,,,,
2000-10,7.5,6.83,,,,
2000-11,7.5,6.83,,,,
2000-12,7.5,6.83,,,,
2001-01,7.25,7.11,,,,
2001-02,7.25,7.11,,,,
2001-03,6.75,5.25,,,,
2001-04,6.5,4.86,,,,
2001-05,6.25,5.44,,,,
2001-06,6.25,5.44,,,,
2001-07,6,4.5,,,,
2001-08,5.75,4.66,,,,
2001-09,5.25,3.5,,,,
2001-10,4.5,1.5,,,,
2001-11,4,2.25,,,,
2001-12,4,2.25,,,,
2002-01,3.75,2,,,,
2002-02,3.75,2,,,,
2002-03,3.75,2,,,,
2002-04,4,2.25,,,,
2002-05,4,2.25,,,,
2002-06,4.25,2.5,,,,
2002-07,4.5,1.5,,,,
2002-08,4.5,1.5,,,,
2002-09,4.5,1.5,,,,
2002-10,4.5,1.5,,,,
2002-11,4.5,1.5,,,,
2002-12,4.5,1.5,,,,
2003-01,4.5,1.5,,,,
2003-02,4.5,1.5,,,,
2003-03,4.75,3,,,,
2003-04,5,2.5,,,,
2003-05,5,2.5,,,,
2003-06,5,2.5,,,,
2003-07,4.75,3,,,,
2003-08,4.75,3,,,,
2003-09,4.5,1.5,,,,
2003-10,4.5,1.5,,,,
2003-11,4.5,1.5,,,,
2003-12,4.5,1.5,,,,
2004-01,4.25,2.5,,,,
2004-02,4.25,2.5,,,,
2004-03,4,2.25,,,,
2004-04,3.75,2,,,,
2004-05,3.75,2,,,,
2004-06,3.75,2,,,,
2004-07,3.75,2,,,,
2004-08,3.75,2,,,,
2004-09,4,2.25,,,,
2004-10,4.25,2.5,,,,
2004-11,4.25,2.5,,,,
2004-12,4.25,2.5,,,,
2005-01,4.25,2.5,,,,
2005-02,4.25,2.5,,,,
2005-03,4.25,2.5,,,,
2005-04,4.25,2.5,,,,
2005-05,4.25,2.5,,,,
2005-06,4.25,2.5,,,,
2005-07,4.25,2.5,,,,
2005-08,4.25,2.5,,,,
2005-09,4.5,1.5,,,,
2005-10,4.75,3,,,,
2005-11,4.75,3,,,,
2005-12,5,2.5,,,,
2006-01,5.25,3.5,,,,
2006-02,5.25,3.5,,,,
2006-03,5.5,2.5,,,,
2006-04,5.75,4.66,,,,
2006-05,6,4.5,,,,
2006-06,6,4.5,,,,
2006-07,6,4.5,,,,
2006-08,6,4.5,,,,
2006-09,6,4.5,,,,
2006-10,6,4.5,,,,
2006-11,6,4.5,,,,
2006-12,6,4.5,,,,
2007-01,6,4.5,,,,
2007-02,6,4.5,,,,
2007-03,6,4.5,,,,
2007-04,6,4.5,,,,
2007-05,6,4.5,,,,
2007-06,6,4.5,,,,
2007-07,6.25,5.44,,,,
2007-08,6.25,5.44,,,,
2007-09,6.25,5.44,,,,
2007-10,6.25,5.44,,,,
2007-11,6.25,5.44,,,,
2007-12,6,4.5,,,,
2008-01,5.75,4.66,,,,
2008-02,5.75,4.66,,,,
2008-03,5.25,3.5,,,,
2008-04,4.75,3,,,,
2008-05,4.75,3,,,,
2008-06,4.75,3,,,,
2008-07,4.75,3,,,,
2008-08,4.75,3,,,,
2008-09,4.75,3,,,,
2008-10,4,2.25,,,,
2008-11,4,2.25,,,,
2008-12,3.5,1.5,,,,
2009-01,3,1,,,,
2009-02,3,1,,,,
2009-03,2.5,0.5,,,,
2009-04,2.25,0.25,,,,
2009-05,2.25,0.25,,,,
2009-06,2.25,0.25,,,,
2009-07,2.25,0.25,,,,
2009-08,2.25,0.25,,,,
2009-09,2.25,0.25,,,,
2009-10,2.25,0.25,,,,
2009-11,2.25,0.25,,,,
2009-12,2.25,0.25,,,,
2010-01,2.25,0.25,,,,
2010-02,2.25,0.25,,,,
2010-03,2.25,0.25,,,,
2010-04,2.25,0.25,,,,
2010-05,2.25,0.25,,,,
2010-06,2.5,0.5,,,,
2010-07,2.75,0.75,,,,
2010-08,2.75,0.75,,,,
2010-09,3,1,,,,
2010-10,3,1,,,,
2010-11,3,1,,,,
2010-12,3,1,,,,
2011-01,3,1,,,,
2011-02,3,1,,,,
2011-03,3,1,,,,
2011-04,3,1,,,,
2011-05,3,1,,,,
2011-06,3,1,,,,
2011-07,3,1,,,,
2011-08,3,1,,,,
2011-09,3,1,,,,
2011-10,3,1,,,,
2011-11,3,1,,,,
2011-12,3,1,,,,
2012-01,3,1,,,,
2012-02,3,1,,,,
2012-03,3,1,,,,
2012-04,3,1,,,,
2012-05,3,1,,,,
2012-06,3,1,,,,
2012-07,3,1,,,,
2012-08,3,1,,,,
2012-09,3,1,,,,
2012-10,3,1,,,,
2012-11,3,1,,,,
2012-12,3,1,,,,
2013-01,3,1,,,,
2013-02,3,1,,,,
2013-03,3,1,,,,
2013-04,3,1,,,,
2013-05,3,1,,,,
2013-06,3,1,,,,
2013-07,3,1,,,,
2013-08,3,1,,,,
2013-09,3,1,,,,
2013-10,3,1,,,,
2013-11,3,1,,,,
2013-12,3,1,,,,
2014-01,3,1,,,,
2014-02,3,1,,,,
2014-03,3,1,,,,
2014-04,3,1,,,,
2014-05,3,1,,,,
2014-06,3,1,,,,
2014-07,3,1,,,,
2014-08,3,1,,,,
2014-09,3,1,,,,
2014-10,3,1,,,,
2014-11,3,1,,,,
2014-12,3,1,,,,
2015-01,2.85,0.75,,,,
2015-02,2.85,0.75,,,,
2015-03,2.85,0.75,,,,
2015-04,2.85,0.75,,,,
2015-05,2.85,0.75,,,,
2015-06,2.85,0.75,,,,
2015-07,2.7,0.5,,,,
2015-08,2.7,0.5,,,,
2015-09,2.7,0.5,,,,
2015-10,2.7,0.5,,,,
2015-11,2.7,0.5,,,,
2015-12,2.7,0.5,,,,
2016-01,2.7,0.5,,,,
2016-02,2.7,0.5,,,,
2016-03,2.7,0.5,,,,
2016-04,2.7,0.5,,,,
2016-05,2.7,0.5,,,,
2016-06,2.7,0.5,,,,
2016-07,2.7,0.5,,,,
2016-08,2.7,0.5,,,,
2016-09,2.7,0.5,,,,
2016-10,2.7,0.5,,,,
2016-11,2.7,0.5,,,,
2016-12,2.7,0.5,,,,
2017-01,2.7,0.5,,,,
2017-02,2.7,0.5,,,,
2017-03,2.7,0.5,,,,
2017-04,2.7,0.5,,,,
2017-05,2.7,0.5,,,,
2017-06,2.7,0.5,,,,
2017-07,2.95,0.75,,,,
2017-08,2.95,0.75,,,,
2017-09,3.2,1,,,,
2017-10,3.2,1,,,,
2017-11,3.2,1,,,,
2017-12,3.2,1,,,,
2018-01,3.45,1.25,0.46%,0.17%,0.00%,0.64%
2018-02,3.45,1.25,0.46%,0.17%,0.00%,0.64%
2018-03,3.45,1.25,0.46%,0.17%,0.00%,0.64%
2018-04,3.45,1.25,0.46%,0.17%,0.00%,0.64%
2018-05,3.45,1.25,0.46%,0.17%,0.00%,0.64%
2018-06,3.45,1.25,0.46%,0.17%,0.00%,0.64%
2018-07,3.7,1.5,0.46%,0.17%,0.00%,0.64%
2018-08,3.7,1.5,0.46%,0.17%,0.00%,0.64%
2018-09,3.7,1.5,0.46%,0.17%,0.00%,0.64%
2018-10,3.95,1.75,0.46%,0.17%,0.00%,0.64%
2018-11,3.95,1.75,0.46%,0.17%,0.00%,0.64%
2018-12,3.95,1.75,0.46%,0.17%,0.00%,0.64%
2019-01,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2019-02,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2019-03,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2019-04,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2019-05,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2019-06,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2019-07,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2019-08,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2019-09,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2019-10,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2019-11,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2019-12,3.95,1.75,0.45%,0.16%,0.00%,0.61%
2020-01,3.95,1.75,0.44%,0.15%,0.01%,0.60%
2020-02,3.95,1.75,0.44%,0.15%,0.01%,0.60%
2020-03,2.45,0.25,0.44%,0.15%,0.01%,0.60%
2020-04,2.45,0.25,0.44%,0.15%,0.01%,0.60%
2020-05,2.45,0.25,0.44%,0.15%,0.01%,0.60%
2020-06,2.45,0.25,0.44%,0.15%,0.01%,0.60%
2020-07,2.45,0.25,0.44%,0.15%,0.01%,0.60%
2020-08,2.45,0.25,0.44%,0.15%,0.01%,0.60%
2020-09,2.45,0.25,0.44%,0.15%,0.01%,0.60%
2020-10,2.45,0.25,0.44%,0.15%,0.01%,0.60%
2020-11,2.45,0.25,0.44%,0.15%,0.01%,0.60%
2020-12,2.45,0.25,0.44%,0.15%,0.01%,0.60%
2021-01,2.45,0.25,0.45%,0.15%,0.01%,0.61%
2021-02,2.45,0.25,0.45%,0.15%,0.01%,0.61%
2021-03,2.45,0.25,0.45%,0.15%,0.01%,0.61%
2021-04,2.45,0.25,0.45%,0.15%,0.01%,0.61%
2021-05,2.45,0.25,0.45%,0.15%,0.01%,0.61%