Date,Area_Code,Total_Condo_Sold_Number,Avg_Price,New_Units_Number_construction_complete
2021-05-01,E02,NA,1076033.592,NA
2021-05-01,W09,NA,726355.6442,NA
2021-05-01,W08,NA,748659.0387,NA
2021-05-01,W07,NA,728229.2758,NA
2021-05-01,W06,NA,739560.1161,NA
2021-05-01,E06,NA,1082308.246,NA
2021-05-01,W05,NA,532285.9198,NA
2021-05-01,W03,NA,510309.6485,NA
2021-05-01,W01,NA,740182.2162,NA
2021-05-01,E11,NA,512472.7602,NA
2021-05-01,E10,NA,376712.8401,NA
2021-05-01,E09,NA,608944.4693,NA
2021-05-01,E08,NA,495609.4592,NA
2021-05-01,W04,NA,512840.3549,NA
2021-05-01,C01,NA,813517.5515,NA
2021-05-01,E03,NA,690548.0867,NA
2021-05-01,W10,NA,459880.3949,NA
2021-05-01,C02,NA,639325.1962,NA
2021-05-01,All,NA,755261.5222,NA
2021-05-01,W02,NA,773274.9487,NA
2021-05-01,E01,NA,856826.1357,NA
2021-05-01,C15,NA,753025.103,NA
2021-05-01,C14,NA,690916.933,NA
2021-05-01,C13,NA,666992.9892,NA
2021-05-01,C12,NA,1546435.373,NA
2021-05-01,C03,NA,1097910.702,NA
2021-05-01,C10,NA,934427.885,NA
2021-05-01,E07,NA,554976.6615,NA
2021-05-01,C08,NA,720436.6453,NA
2021-05-01,C07,NA,770307.639,NA
2021-05-01,C06,NA,523480.8751,NA
2021-05-01,C04,NA,1228116.347,NA
2021-05-01,E04,NA,535179.6523,NA
2021-05-01,C11,NA,680127.6811,NA
2021-05-01,E05,NA,530027.0575,NA
2021-05-01,C09,NA,2949293.238,NA
2021-06-01,E02,NA,751230.9069,NA
2021-06-01,W09,NA,825533.8661,NA
2021-06-01,W08,NA,702561.4934,NA
2021-06-01,W07,NA,1299490.855,NA
2021-06-01,W06,NA,769130.4441,NA
2021-06-01,E06,NA,797792.5899,NA
2021-06-01,W05,NA,466272.1459,NA
2021-06-01,W03,NA,196514.1018,NA
2021-06-01,W01,NA,688324.0803,NA
2021-06-01,E11,NA,516356.0835,NA
2021-06-01,E10,NA,271354.3848,NA
2021-06-01,E09,NA,651514.4989,NA
2021-06-01,E08,NA,437025.1682,NA
2021-06-01,W04,NA,453773.9729,NA
2021-06-01,C01,NA,744609.65,NA
2021-06-01,E03,NA,753106.5596,NA
2021-06-01,W10,NA,509353.1055,NA
2021-06-01,C02,NA,1004092.949,NA
2021-06-01,All,NA,751870.821,NA
2021-06-01,W02,NA,572603.7766,NA
2021-06-01,E01,NA,630437.281,NA
2021-06-01,C15,NA,841765.162,NA
2021-06-01,C14,NA,692355.6555,NA
2021-06-01,C13,NA,706513.4486,NA
2021-06-01,C12,NA,725963.5202,NA
2021-06-01,C03,NA,742294.958,NA
2021-06-01,C10,NA,902429.5073,NA
2021-06-01,E07,NA,534895.0348,NA
2021-06-01,C08,NA,742943.9744,NA
2021-06-01,C07,NA,752252.2705,NA
2021-06-01,C06,NA,581748.0766,NA
2021-06-01,C04,NA,928835.5739,NA
2021-06-01,E04,NA,505649.861,NA
2021-06-01,C11,NA,642985.4409,NA
2021-06-01,E05,NA,503144.5611,NA
2021-06-01,C09,NA,1538678.472,NA
2021-07-01,E02,NA,567529.4733,NA
2021-07-01,W09,NA,457835.5615,NA
2021-07-01,W08,NA,603166.5818,NA
2021-07-01,W07,NA,506592.0965,NA
2021-07-01,W06,NA,727061.605,NA
2021-07-01,E06,NA,555730.1701,NA
2021-07-01,W05,NA,490458.2294,NA
2021-07-01,W03,NA,585803.3382,NA
2021-07-01,W01,NA,852193.7566,NA
2021-07-01,E11,NA,514162.4439,NA
2021-07-01,E10,NA,217004.7528,NA
2021-07-01,E09,NA,580096.4611,NA
2021-07-01,E08,NA,442579.2553,NA
2021-07-01,W04,NA,490917.2118,NA
2021-07-01,C01,NA,708798.3133,NA
2021-07-01,E03,NA,550441.5819,NA
2021-07-01,W10,NA,485807.4624,NA
2021-07-01,C02,NA,1520373.302,NA
2021-07-01,All,NA,712727.0407,NA
2021-07-01,W02,NA,489296.4026,NA
2021-07-01,E01,NA,772758.2838,NA
2021-07-01,C15,NA,719308.8299,NA
2021-07-01,C14,NA,703237.4008,NA
2021-07-01,C13,NA,728902.9209,NA
2021-07-01,C12,NA,1596782.729,NA
2021-07-01,C03,NA,34563.52586,NA
2021-07-01,C10,NA,892633.8738,NA
2021-07-01,E07,NA,525935.391,NA
2021-07-01,C08,NA,739609.0955,NA
2021-07-01,C07,NA,656662.7287,NA
2021-07-01,C06,NA,726768.7992,NA
2021-07-01,C04,NA,734795.8525,NA
2021-07-01,E04,NA,523698.1316,NA
2021-07-01,C11,NA,516835.6227,NA
2021-07-01,E05,NA,487394.5128,NA
2021-07-01,C09,NA,704720.4726,NA
2021-08-01,E02,NA,575452.9723,NA
2021-08-01,W09,NA,427927.8028,NA
2021-08-01,W08,NA,585678.2913,NA
2021-08-01,W07,NA,488267.7831,NA
2021-08-01,W06,NA,676167.9696,NA
2021-08-01,E06,NA,439339.9015,NA
2021-08-01,W05,NA,555207.3388,NA
2021-08-01,W03,NA,476405.1404,NA
2021-08-01,W01,NA,823806.9513,NA
2021-08-01,E11,NA,479088.7201,NA
2021-08-01,E10,NA,494701.6618,NA
2021-08-01,E09,NA,541542.1192,NA
2021-08-01,E08,NA,513613.0809,NA
2021-08-01,W04,NA,510617.1546,NA
2021-08-01,C01,NA,759500.9866,NA
2021-08-01,E03,NA,333298.5767,NA
2021-08-01,W10,NA,425575.9102,NA
2021-08-01,C02,NA,760180.3691,NA
2021-08-01,All,NA,703768.6535,NA
2021-08-01,W02,NA,395348.198,NA
2021-08-01,E01,NA,801184.346,NA
2021-08-01,C15,NA,621929.4334,NA
2021-08-01,C14,NA,731999.6897,NA
2021-08-01,C13,NA,594575.5802,NA
2021-08-01,C12,NA,1829104.324,NA
2021-08-01,C03,NA,541514.9388,NA
2021-08-01,C10,NA,818741.0348,NA
2021-08-01,E07,NA,543633.2432,NA
2021-08-01,C08,NA,791245.5392,NA
2021-08-01,C07,NA,634251.1051,NA
2021-08-01,C06,NA,677960.5102,NA
2021-08-01,C04,NA,991838.3936,NA
2021-08-01,E04,NA,487799.6359,NA
2021-08-01,C11,NA,619735.0356,NA
2021-08-01,E05,NA,594747.0129,NA
2021-08-01,C09,NA,1171728.098,NA
2021-09-01,E02,NA,961920.8478,NA
2021-09-01,W09,NA,552915.4245,NA
2021-09-01,W08,NA,562933.8137,NA
2021-09-01,W07,NA,897806.2273,NA
2021-09-01,W06,NA,755419.9224,NA
2021-09-01,E06,NA,882749.1552,NA
2021-09-01,W05,NA,482844.9807,NA
2021-09-01,W03,NA,774990.6922,NA
2021-09-01,W01,NA,757230.4471,NA
2021-09-01,E11,NA,467360.26,NA
2021-09-01,E10,NA,458601.15,NA
2021-09-01,E09,NA,577534.7717,NA
2021-09-01,E08,NA,532689.6149,NA
2021-09-01,W04,NA,498717.3683,NA
2021-09-01,C01,NA,771514.9749,NA
2021-09-01,E03,NA,479179.0168,NA
2021-09-01,W10,NA,468845.9034,NA
2021-09-01,C02,NA,151662.041,NA
2021-09-01,All,NA,711884.5857,NA
2021-09-01,W02,NA,662415.9769,NA
2021-09-01,E01,NA,813822.3193,NA
2021-09-01,C15,NA,679971.644,NA
2021-09-01,C14,NA,779254.3377,NA
2021-09-01,C13,NA,657545.6375,NA
2021-09-01,C12,NA,1349626.15,NA
2021-09-01,C03,NA,1132744.102,NA
2021-09-01,C10,NA,813663.0175,NA
2021-09-01,E07,NA,540319.2925,NA
2021-09-01,C08,NA,788923.0464,NA
2021-09-01,C07,NA,656491.1104,NA
2021-09-01,C06,NA,691502.8089,NA
2021-09-01,C04,NA,1142688.765,NA
2021-09-01,E04,NA,530799.6387,NA
2021-09-01,C11,NA,691041.223,NA
2021-09-01,E05,NA,582855.5165,NA
2021-09-01,C09,NA,658536.4205,NA
2021-10-01,E02,NA,1101413.908,NA
2021-10-01,W09,NA,544083.4663,NA
2021-10-01,W08,NA,599224.5277,NA
2021-10-01,W07,NA,659792.1304,NA
2021-10-01,W06,NA,810740.3846,NA
2021-10-01,E06,NA,1019867.457,NA
2021-10-01,W05,NA,474021.7361,NA
2021-10-01,W03,NA,393057.6384,NA
2021-10-01,W01,NA,582036.1791,NA
2021-10-01,E11,NA,518270.5504,NA
2021-10-01,E10,NA,318763.6466,NA
2021-10-01,E09,NA,626467.3308,NA
2021-10-01,E08,NA,484903.3948,NA
2021-10-01,W04,NA,449884.5222,NA
2021-10-01,C01,NA,713575.5948,NA
2021-10-01,E03,NA,727629.155,NA
2021-10-01,W10,NA,515457.7839,NA
2021-10-01,C02,NA,912021.0478,NA
2021-10-01,All,NA,723867.4624,NA
2021-10-01,W02,NA,788716.9203,NA
2021-10-01,E01,NA,822464.7688,NA
2021-10-01,C15,NA,688757.4974,NA
2021-10-01,C14,NA,783386.1686,NA
2021-10-01,C13,NA,678575.7446,NA
2021-10-01,C12,NA,1412770.971,NA
2021-10-01,C03,NA,925168.3652,NA
2021-10-01,C10,NA,810485.8882,NA
2021-10-01,E07,NA,536865.5756,NA
2021-10-01,C08,NA,783328.2318,NA
2021-10-01,C07,NA,659610.2942,NA
2021-10-01,C06,NA,611717.5229,NA
2021-10-01,C04,NA,917734.3436,NA
2021-10-01,E04,NA,531577.4949,NA
2021-10-01,C11,NA,681129.4503,NA
2021-10-01,E05,NA,534135.2345,NA
2021-10-01,C09,NA,2195522.867,NA
2021-11-01,E02,NA,1003883.292,NA
2021-11-01,W09,NA,501739.7163,NA
2021-11-01,W08,NA,648018.8755,NA
2021-11-01,W07,NA,500796.7188,NA
2021-11-01,W06,NA,740767.9826,NA
2021-11-01,E06,NA,866236.0121,NA
2021-11-01,W05,NA,558607.6468,NA
2021-11-01,W03,NA,236019.647,NA
2021-11-01,W01,NA,641799.0508,NA
2021-11-01,E11,NA,503970.4219,NA
2021-11-01,E10,NA,355116.9807,NA
2021-11-01,E09,NA,606744.2847,NA
2021-11-01,E08,NA,555321.7859,NA
2021-11-01,W04,NA,509450.047,NA
2021-11-01,C01,NA,690989.1963,NA
2021-11-01,E03,NA,634675.9986,NA
2021-11-01,W10,NA,455204.3745,NA
2021-11-01,C02,NA,1452251.543,NA
2021-11-01,All,NA,697624.8776,NA
2021-11-01,W02,NA,614967.7921,NA
2021-11-01,E01,NA,580995.9866,NA
2021-11-01,C15,NA,631126.0077,NA
2021-11-01,C14,NA,717884.055,NA
2021-11-01,C13,NA,573305.4512,NA
2021-11-01,C12,NA,1454520.094,NA
2021-11-01,C03,NA,1111486.371,NA
2021-11-01,C10,NA,784041.7077,NA
2021-11-01,E07,NA,522320.315,NA
2021-11-01,C08,NA,774702.8743,NA
2021-11-01,C07,NA,636582.9695,NA
2021-11-01,C06,NA,603456.0656,NA
2021-11-01,C04,NA,927283.3443,NA
2021-11-01,E04,NA,519292.2173,NA
2021-11-01,C11,NA,647668.2437,NA
2021-11-01,E05,NA,500894.164,NA
2021-11-01,C09,NA,1553230.689,NA
2021-12-01,E02,NA,830150.2386,NA
2021-12-01,W09,NA,533732.8397,NA
2021-12-01,W08,NA,559596.2823,NA
2021-12-01,W07,NA,496578.018,NA
2021-12-01,W06,NA,707988.6464,NA
2021-12-01,E06,NA,983267.2199,NA
2021-12-01,W05,NA,540672.4176,NA
2021-12-01,W03,NA,596861.3019,NA
2021-12-01,W01,NA,740166.4893,NA
2021-12-01,E11,NA,536165.0939,NA
2021-12-01,E10,NA,280264.6295,NA
2021-12-01,E09,NA,572290.2171,NA
2021-12-01,E08,NA,510109.4804,NA
2021-12-01,W04,NA,499683.0522,NA
2021-12-01,C01,NA,699146.1009,NA
2021-12-01,E03,NA,448280.4819,NA
2021-12-01,W10,NA,439093.595,NA
2021-12-01,C02,NA,810540.673,NA
2021-12-01,All,NA,694233.4384,NA
2021-12-01,W02,NA,577548.3823,NA
2021-12-01,E01,NA,661149.0041,NA
2021-12-01,C15,NA,697840.8342,NA
2021-12-01,C14,NA,719192.9552,NA
2021-12-01,C13,NA,700387.4861,NA
2021-12-01,C12,NA,956600.1542,NA
2021-12-01,C03,NA,1167004.335,NA
2021-12-01,C10,NA,881610.9892,NA
2021-12-01,E07,NA,524976.3524,NA
2021-12-01,C08,NA,701386.9996,NA
2021-12-01,C07,NA,656009.8738,NA
2021-12-01,C06,NA,555264.9096,NA
2021-12-01,C04,NA,1111906.743,NA
2021-12-01,E04,NA,565674.2736,NA
2021-12-01,C11,NA,631381.3665,NA
2021-12-01,E05,NA,515269.5958,NA
2021-12-01,C09,NA,1285871.259,NA
2022-01-01,E02,NA,945560.2015,NA
2022-01-01,W09,NA,635655.9684,NA
2022-01-01,W08,NA,657473.5035,NA
2022-01-01,W07,NA,985543.1363,NA
2022-01-01,W06,NA,728845.6394,NA
2022-01-01,E06,NA,832824.7835,NA
2022-01-01,W05,NA,520415.8022,NA
2022-01-01,W03,NA,591365.0754,NA
2022-01-01,W01,NA,806766.2967,NA
2022-01-01,E11,NA,515917.4838,NA
2022-01-01,E10,NA,377975.851,NA
2022-01-01,E09,NA,571481.5689,NA
2022-01-01,E08,NA,493127.3549,NA
2022-01-01,W04,NA,491819.9182,NA
2022-01-01,C01,NA,704424.1015,NA
2022-01-01,E03,NA,558512.967,NA
2022-01-01,W10,NA,512594.1129,NA
2022-01-01,C02,NA,1414098.14,NA
2022-01-01,All,NA,717196.2023,NA
2022-01-01,W02,NA,679685.058,NA
2022-01-01,E01,NA,670296.3663,NA
2022-01-01,C15,NA,752150.0192,NA
2022-01-01,C14,NA,689841.7446,NA
2022-01-01,C13,NA,632126.6836,NA
2022-01-01,C12,NA,1104147.463,NA
2022-01-01,C03,NA,933401.8136,NA
2022-01-01,C10,NA,756844.0146,NA
2022-01-01,E07,NA,518158.4593,NA
2022-01-01,C08,NA,727780.0793,NA
2022-01-01,C07,NA,640424.5752,NA
2022-01-01,C06,NA,590884.5142,NA
2022-01-01,C04,NA,1344950.062,NA
2022-01-01,E04,NA,563162.9231,NA
2022-01-01,C11,NA,701979.5182,NA
2022-01-01,E05,NA,487650.0589,NA
2022-01-01,C09,NA,1942102.38,NA
2022-02-01,E02,NA,977982.2446,NA
2022-02-01,W09,NA,579281.294,NA
2022-02-01,W08,NA,658085.615,NA
2022-02-01,W07,NA,1091590.584,NA
2022-02-01,W06,NA,657636.5052,NA
2022-02-01,E06,NA,937624.847,NA
2022-02-01,W05,NA,518561.3751,NA
2022-02-01,W03,NA,493995.6629,NA
2022-02-01,W01,NA,685464.8039,NA
2022-02-01,E11,NA,543010.2144,NA
2022-02-01,E10,NA,372638.9181,NA
2022-02-01,E09,NA,580568.4759,NA
2022-02-01,E08,NA,553118.6852,NA
2022-02-01,W04,NA,506282.7392,NA
2022-02-01,C01,NA,722972.133,NA
2022-02-01,E03,NA,605994.2972,NA
2022-02-01,W10,NA,541175.7829,NA
2022-02-01,C02,NA,1595500.526,NA
2022-02-01,All,NA,703187.9308,NA
2022-02-01,W02,NA,617327.494,NA
2022-02-01,E01,NA,966294.039,NA
2022-02-01,C15,NA,727938.8606,NA
2022-02-01,C14,NA,715125.5644,NA
2022-02-01,C13,NA,647018.5424,NA
2022-02-01,C12,NA,1325215.48,NA
2022-02-01,C03,NA,630003.1278,NA
2022-02-01,C10,NA,758566.3581,NA
2022-02-01,E07,NA,527202.7055,NA
2022-02-01,C08,NA,717593.6405,NA
2022-02-01,C07,NA,610751.0737,NA
2022-02-01,C06,NA,670845.8532,NA
2022-02-01,C04,NA,1039601.358,NA
2022-02-01,E04,NA,548136.088,NA
2022-02-01,C11,NA,679435.7093,NA
2022-02-01,E05,NA,467164.1735,NA
2022-02-01,C09,NA,1180895.436,NA
2022-03-01,E02,NA,816206.2775,NA
2022-03-01,W09,NA,500033.3743,NA
2022-03-01,W08,NA,670816.7072,NA
2022-03-01,W07,NA,543505.2936,NA
2022-03-01,W06,NA,729084.7932,NA
2022-03-01,E06,NA,1115587.748,NA
2022-03-01,W05,NA,523952.0532,NA
2022-03-01,W03,NA,584184.0401,NA
2022-03-01,W01,NA,686555.5733,NA
2022-03-01,E11,NA,543789.3648,NA
2022-03-01,E10,NA,366744.2067,NA
2022-03-01,E09,NA,594139.0665,NA
2022-03-01,E08,NA,550373.9979,NA
2022-03-01,W04,NA,495557.9112,NA
2022-03-01,C01,NA,690433.854,NA
2022-03-01,E03,NA,493186.3615,NA
2022-03-01,W10,NA,509628.436,NA
2022-03-01,C02,NA,725883.7208,NA
2022-03-01,All,NA,679538.0789,NA
2022-03-01,W02,NA,488109.5389,NA
2022-03-01,E01,NA,855255.2881,NA
2022-03-01,C15,NA,709078.5876,NA
2022-03-01,C14,NA,691264.5221,NA
2022-03-01,C13,NA,707605.0827,NA
2022-03-01,C12,NA,1229874.723,NA
2022-03-01,C03,NA,596864.674,NA
2022-03-01,C10,NA,704357.7483,NA
2022-03-01,E07,NA,547730.5156,NA
2022-03-01,C08,NA,719258.2912,NA
2022-03-01,C07,NA,587135.1222,NA
2022-03-01,C06,NA,651580.1627,NA
2022-03-01,C04,NA,898744.1153,NA
2022-03-01,E04,NA,555855.8542,NA
2022-03-01,C11,NA,604218.9812,NA
2022-03-01,E05,NA,551507.2833,NA
2022-03-01,C09,NA,1241104.077,NA
2022-04-01,E02,NA,1213178.394,NA
2022-04-01,W09,NA,524431.8879,NA
2022-04-01,W08,NA,672104.3329,NA
2022-04-01,W07,NA,901729.9027,NA
2022-04-01,W06,NA,805549.4515,NA
2022-04-01,E06,NA,1210390.391,NA
2022-04-01,W05,NA,424392.7798,NA
2022-04-01,W03,NA,508647.4662,NA
2022-04-01,W01,NA,758280.5646,NA
2022-04-01,E11,NA,521388.9344,NA
2022-04-01,E10,NA,386456.2795,NA
2022-04-01,E09,NA,583616.6649,NA
2022-04-01,E08,NA,490205.5548,NA
2022-04-01,W04,NA,471012.8538,NA
2022-04-01,C01,NA,633353.2385,NA
2022-04-01,E03,NA,506719.1246,NA
2022-04-01,W10,NA,482733.9653,NA
2022-04-01,C02,NA,703909.1102,NA
2022-04-01,All,NA,677364.8374,NA
2022-04-01,W02,NA,585037.6654,NA
2022-04-01,E01,NA,602236.3567,NA
2022-04-01,C15,NA,774586.3806,NA
2022-04-01,C14,NA,677014.3109,NA
2022-04-01,C13,NA,597707.6884,NA
2022-04-01,C12,NA,1298276.501,NA
2022-04-01,C03,NA,690444.6412,NA
2022-04-01,C10,NA,833845.5204,NA
2022-04-01,E07,NA,560673.265,NA
2022-04-01,C08,NA,663053.0934,NA
2022-04-01,C07,NA,634858.8714,NA
2022-04-01,C06,NA,602204.7861,NA
2022-04-01,C04,NA,1084976.368,NA
2022-04-01,E04,NA,579436.1938,NA
2022-04-01,C11,NA,654678.3005,NA
2022-04-01,E05,NA,548363.7975,NA
2022-04-01,C09,NA,2152063.707,NA
2022-05-01,E02,NA,1184350.117,NA
2022-05-01,W09,NA,633589.1362,NA
2022-05-01,W08,NA,670467.1369,NA
2022-05-01,W07,NA,916756.6407,NA
2022-05-01,W06,NA,753917.5759,NA
2022-05-01,E06,NA,687819.1028,NA
2022-05-01,W05,NA,444868.2925,NA
2022-05-01,W03,NA,481479.7361,NA
2022-05-01,W01,NA,895606.6253,NA
2022-05-01,E11,NA,537710.1305,NA
